drug_name,brand_name,generic_name,interacts_with_list,description,source
METOCLOPRAMIDE,METOCLOPRAMIDE,METOCLOPRAMIDE,"Drug Interactions, Absorption, Exogenously, Gastroparesis, Additive","Drug Interactions The effects of metoclopramide on gastrointestinal motility are antagonized by anticholinergic drugs and narcotic analgesics. Additive sedative effects can occur when metoclopramide is given with alcohol, sedatives, hypnotics, narcotics, or tranquilizers. The finding that metoclopramide releases catecholamines in patients with essential hypertension suggests that it should be used cautiously, if at all, in patients receiving monoamine oxidase inhibitors. Absorption of drugs from the stomach may be diminished (e.g. digoxin) by metoclopramide, whereas the rate and/or extent of absorption of drugs from the small bowel may be increased (e.g., acetaminophen, tetracycline, levodopa, ethanol, cyclosporine). Gastroparesis (gastric stasis) may be responsible for poor diabetic control in some patients. Exogenously administered insulin may begin to act before food has left the stomach and lead to hypoglycemia. Because the action of metoclopramide will influence the delivery of food to the intestines and thus the rate of absorption, insulin dosage or timing of dosage may require adjustment.",FDA_openFDA
ATROPINE SULFATE,ATROPINE SULFATE,ATROPINE SULFATE,"Mexiletine Atropine, Sulfate Injection",7 DRUG INTERACTIONS 7.1 Mexiletine Atropine Sulfate Injection decreased the rate of mexiletine absorption without altering the relative oral bioavailability; this delay in mexiletine absorption was reversed by the combination of atropine and intravenous metoclopramide during pretreatment for anesthesia.,FDA_openFDA
DULOXETINE HYDROCHLORIDE,DULOXETINE DELAYED-RELEASE,DULOXETINE HYDROCHLORIDE,"Serotonin, Drugs The, Lorazepam Under, Caution, Temazepam Under, Monitor, Acidity Duloxetine, Altered, Monoamine Oxidase, Therefore, Wort, Both, Drugs Highly, See Warnings, Affect Gastric, Bound, Other Serotonergic, Warfarin, Potent, Warnings, However, Alcohol When, Inhibitors, John, Hemostasis","7 DRUG INTERACTIONS Both CYP1A2 and CYP2D6 are responsible for duloxetine metabolism. Potent inhibitors of CYP1A2 should be avoided ( 7.1 ) Potent inhibitors of CYP2D6 may increase Duloxetine delayed-release capsules concentrations ( 7.2 ) Duloxetine delayed-release capsules is a moderate inhibitor of CYP2D6 ( 7.9 ) 7.1 Inhibitors of CYP1A2 When duloxetine 60 mg was co-administered with fluvoxamine 100 mg, a potent CYP1A2 inhibitor, to male subjects (n=14) duloxetine AUC was increased approximately 6-fold, the C max was increased about 2.5-fold, and duloxetine t 1/2 was increased approximately 3-fold. Other drugs that inhibit CYP1A2 metabolism include cimetidine and quinolone antimicrobials such as ciprofloxacin and enoxacin [see Warnings and Precautions (5.12) ]. 7.2 Inhibitors of CYP2D6 Concomitant use of duloxetine (40 mg once daily) with paroxetine (20 mg once daily) increased the concentration of duloxetine AUC by about 60%, and greater degrees of inhibition are expected with higher doses of paroxetine. Similar effects would be expected with other potent CYP2D6 inhibitors (e.g., fluoxetine, quinidine) [see Warnings and Precautions (5.12) ]. 7.3 Dual Inhibition of CYP1A2 and CYP2D6 Concomitant administration of duloxetine 40 mg twice daily with fluvoxamine 100 mg, a potent CYP1A2 inhibitor, to CYP2D6 poor metabolizer subjects (n=14) resulted in a 6-fold increase in duloxetine AUC and C max. 7.4 Drugs that Interfere with Hemostasis (e.g., NSAIDs, Aspirin, and Warfarin) Ser",FDA_openFDA
PREDNISONE,PREDNISONE,PREDNISONE,"Substrates, Antitubercular, Amphotericin, Phenytoin, Ketoconazole Ketoconazole, Corticosteroids, Glucocorticoids, Antibiotics Macrolide, Aspirin, Vaccines Patients, Digitalis Glycosides, Potassium, Anticholinesterases Concomitant, Skin Tests, Infection, Vaccination, Therefore, Serum, Fluoroquinolones Post, Injection, Anticoagulants, Cholestyramine Cholestyramine, Routine, Inhibitors, Tendon","Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics Macrolide antibiotics have been reported to cause a significant decrease in corticosteroid clearance (see PRECAUTIONS: Drug Interactions: Hepatic Enzyme Inducers, Inhibitors and Substrates ). Anticholinesterases Concomitant use of anticholinesterase agents (e.g., neostigmine, pyridostigmine ) and corticosteroids may produce severe weakness in patients with myasthenia gravis. If possible, anticholinesterase agents should be withdrawn at least 24 hours before initiating corticosteroid therapy. If concomitant therapy must occur, it should take place under close supervision and the need for respiratory support should be anticipated. Anticoagulants, Oral Co-administration of corticosteroids and warfarin usually results in inhibition of response to warfarin, although there have been some conflicting reports. Therefore, coagulation indices should be monitored frequently to maintain the desired anticoagulant effect. Antidiabetics Because corticosteroids may increase blood glucose concentrations, dosage adjustments of antidiabetic agents may be re",FDA_openFDA
LEVONORGESTREL AND ETHINYL ESTRADIOL,ICLEVIA,LEVONORGESTREL AND ETHINYL ESTRADIOL,"Continue, Elevation Co, Warning, Substances, Consult, Iclevia, Other Drugs, Table, Colesevelam Clinical, Pharmacology, Therapy Clinical, Interactions Involving, Liver Enzyme, Ascorbic, Interaction Information, Examples Aprepitant, Laboratory Tests, Combined Oral, Administer, Effect, Warnings, However, Inducers Clinical, John, Lamotrigine Clinical","7 DRUG INTERACTIONS The sections below provide information on substances for which data on drug interactions with COCs are available. There is little information available about the clinical effect of most drug interactions that may affect COCs. However, based on the known pharmacokinetic effects of these drugs, clinical strategies to minimize any potential adverse effect on contraceptive effectiveness or safety are suggested. Consult the approved product labeling of all concurrently used drugs to obtain further information about interactions with COCs or the potential for metabolic enzyme or transporter system alterations. No drug-drug interaction studies were conducted with levonorgestrel and ethinyl estradiol tablets. Enzyme inducers (e.g.CYP3A4): May decrease the effectiveness of Iclevia or increase breakthrough bleeding. Counsel patients to use a back-up or alternative method of contraception when enzyme inducers are used with Iclevia. ( 7.1 ) 7.1 Effects of Other Drugs on Combined Oral Contraceptives Substances decreasing the plasma concentrations of COCs and potentially diminishing the efficacy of COCs: Table 5 includes substances that demonstrated an important drug interaction with levonorgestrel and ethinyl estradiol tablets. Table 5: Significant Drug Interactions Involving Substances That Affect COCs a Induction potency of St. John’s wort may vary widely based on preparation. Metabolic Enzyme Inducers Clinical effect Concomitant use of COCs with metabolic enzyme ind",FDA_openFDA
CAPECITABINE,CAPECITABINE,CAPECITABINE,"Leucovorin, Warning, Phenytoin, Nephrotoxic Drugs, Monitor, Other Drugs, Allopurinol, Avoid, Closely, Deaths, Effect, Warnings, Phenytoin Capecitabine, Capecitabine Tablets, Leucovorin The, Substrates Capecitabine, Vitamin, Instruct, Precautions, Allopurinol Concomitant, Antagonists Capecitabine, Clinical Pharmacology, Nephrotoxic","7 DRUG INTERACTIONS • Allopurinol: Avoid concomitant use of allopurinol with capecitabine tablets. ( 7.1 ) • Leucovorin : Closely monitor for toxicities when capecitabine tablets is coadministered with leucovorin. ( 7.1 ) • CYP2C9 substrates : Closely monitor for adverse reactions when CYP2C9 substrates are coadministered with capecitabine tablets. ( 7.2 ) • Vitamin K antagonists : Monitor INR more frequently and dose adjust oral vitamin K antagonist as appropriate • Phenytoin : Closely monitor phenytoin levels in patients taking capecitabine tablets concomitantly with phenytoin and adjust the phenytoin dose as appropriate. ( 7.2 ) • Nephrotoxic drugs : Closely monitor for signs of renal toxicity when capecitabine tablets is used concomitantly with nephrotoxic drugs. ( 7.3 ) 7.1 Effect of Other Drugs on Capecitabine Tablets Allopurinol Concomitant use with allopurinol may decrease concentration of capecitabine’s active metabolites [see Clinical Pharmacology ( 12.3 )], which may decrease efficacy. Avoid concomitant use of allopurinol with capecitabine tablets. Leucovorin The concentration of fluorouracil is increased and its toxicity may be enhanced by leucovorin, folic acid, or folate analog products. Deaths from severe enterocolitis, diarrhea, and dehydration have been reported in elderly patients receiving weekly leucovorin and fluorouracil. Instruct patients not to take products containing folic acid or folate analog products unless directed to do so by their healthcare pr",FDA_openFDA
TRAZODONE HYDROCHLORIDE,TRAZODONE HYDROCHLORIDE,TRAZODONE HYDROCHLORIDE,"Continue, Phenytoin, Impact, Serotonin, Inhibitors In, Serotonergic Drugs, Monitor, Other Drugs, Affecting Coagulation, Bleeding Due, Trazodone Table, Class, Warfarin There, Cytochrome, Increase, Intervention, Avoid, Inhibitors Clinical, Oxidase Inhibitors, Clinically Important, Depressants Trazodone, Drugs Having, Other Serotonergic, Warfarin, Agents","7 DRUG INTERACTIONS CNS Depressants: Trazodone may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider trazodone dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in trazodone dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin time ( 7 ). MAOIs MAOIs should not be used within 14 days of trazodone [see Warnings and Precautions ( 5.8 )]. Central Nervous System (CNS) Depressants Trazodone may enhance the response to alcohol, barbiturates, and other CNS depressants. Cytochrome P450 3A4 Inhibitors In vitro drug metabolism studies suggest that there is a potential for drug interactions when trazodone is given with cytochrome P450 3A4 (CYP3A4) inhibitors. The effect of short-term administration of ritonavir (200 mg twice daily, 4 doses) on the pharmacokinetics of a single dose of trazodone (50 mg) has been studied in 10 healthy subjects. The C max of trazodone increased by 34%, the AUC increased 2.4 fold, the half-life increased by 2.2 fold, and the clearance decreased by 52%. Adverse effects including nausea, hypotension, and syncope were observed when ritonavir and trazodone were coadministered. It is likely that ketoconazole, indinavir, and other CYP3A4 inhibitors such as itraconazole may lead to substantial increases in trazodone plasma concentrations with the potential for adve",FDA_openFDA
LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,"Orlistat Monitor, Estrogen, Digitalis Glycosides, Heparin Hydantoins, Drugs That, Interactions Consider, Ketamine Concurrent, Concentration, Effect Phenobarbital, Salicylates, Hormone Pharmacokinetics, Dosage, Effect Clofibrate, Furosemide, Antidiabetic Therapy, Pregnancy, Thyroid, Heroin, Drugs Known, Bile Acid, Binders, Proton Pump, Short, Laboratory Test, Propranolol","7 DRUG INTERACTIONS See full prescribing information for drugs that affect thyroid hormone pharmacokinetics and metabolism (e.g., absorption, synthesis, secretion, catabolism, protein binding, and target tissue response) and may alter the therapeutic response to levothyroxine sodium. (7) 7.1 Drugs Known to Affect Thyroid Hormone Pharmacokinetics Many drugs can exert effects on thyroid hormone pharmacokinetics and metabolism (e.g., absorption, synthesis, secretion, catabolism, protein binding, and target tissue response) and may alter the therapeutic response to levothyroxine sodium (Tables 5 to 8). Table 5. Drugs That May Decrease T4 Absorption (Hypothyroidism) Potential impact: Concurrent use may reduce the efficacy of levothyroxine sodium by binding and delaying or preventing absorption, potentially resulting in hypothyroidism. Drug or Drug Class Effect Phosphate Binders (e.g., calcium carbonate, ferrous sulfate, sevelamer, lanthanum) Phosphate binders may bind to levothyroxine. Administer levothyroxine sodium tablets at least 4 hours apart from these agents. Orlistat Monitor patients treated concomitantly with orlistat and levothyroxine sodium for changes in thyroid function. Bile Acid Sequestrants (e.g., colesevelam, cholestyramine, colestipol) Ion Exchange Resins (e.g., Kayexalate) Bile acid sequestrants and ion exchange resins are known to decrease levothyroxine absorption. Administer levothyroxine sodium tablets at least 4 hours prior to these drugs or monitor TSH leve",FDA_openFDA
INDOMETHACIN,INDOMETHACIN,INDOMETHACIN,"Case, Impact, Serotonin, Salicylates Clinical, Table, Clinically Significant, Monitor, Cyclosporine Clinical, Pemetrexed Clinical, Intervention, Blockers, Blockers Clinical, Both, Laboratory Tests, Assess, Probenecid Clinical, Combined, Warnings, Angiotensin Receptor, Inhibitors, Methotrexate Clinical, Hemostasis, See Table, Thus, Effects","7 DRUG INTERACTIONS See Table 2 for clinically significant drug interactions with indomethacin. Table 2 Clinically Significant Drug Interactions with Indomethacin Drugs That Interfere with Hemostasis Clinical Impact: Indomethacin and anticoagulants such as warfarin have a synergistic effect on bleeding. The concomitant use of indomethacin and anticoagulants have an increased risk of serious bleeding compared to the use of either drug alone. Serotonin release by platelets plays an important role in hemostasis. Case-control and cohort epidemiological studies showed that concomitant use of drugs that interfere with serotonin reuptake and an NSAID may potentiate the risk of bleeding more than an NSAID alone. Intervention: Monitor patients with concomitant use of indomethacin capsules with anticoagulants (e.g., warfarin), antiplatelet agents (e.g., aspirin), selective serotonin reuptake inhibitors (SSRIs), and serotonin norepinephrine reuptake inhibitors (SNRIs) for signs of bleeding [ see Warnings and Precautions ( 5.12 ) ] . Aspirin Clinical Impact: Controlled clinical studies showed that the concomitant use of NSAIDs and analgesic doses of aspirin does not produce any greater therapeutic effect than the use of NSAIDs alone. In a clinical study, the concomitant use of an NSAID and aspirin was associated with a significantly increased incidence of GI adverse reactions as compared to use of the NSAID alone [ see Warnings and Precautions ( 5.2 ) ]. Intervention: Concomitant use of ",FDA_openFDA
HYDROCORTISONE ACETATE,CORTIFOAM,HYDROCORTISONE ACETATE,"Antitubercular, Amphotericin, Antidiabetics, Macrolide, Corticosteroids, Nonsteroidal, Cyclosporine, Vaccination, Therefore, Serum, Anticoagulants, Cholestyramine, Routine, Skin, Coadministration, Infections, Inducers, Digitalis, Drug Interactions, Convulsions, There, Drugs, Aminoglutethimide, Antibiotics, Anticholinesterases","Drug Interactions Aminoglutethimide: Aminoglutethimide may lead to a loss of corticosteroid-induced adrenal suppression. Amphotericin B injection and potassium-depleting agents: When corticosteroids are administered concomitantly with potassium-depleting agents (i.e., amphotericin B, diuretics), patients should be observed closely for development of hypokalemia. There have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a significant decrease in corticosteroid clearance. Anticholinesterases: Concomitant use of anticholinesterase agents and corticosteroids may produce severe weakness in patients with myasthenia gravis. If possible, anticholinesterase agents should be withdrawn at least 24 hours before initiating corticosteroid therapy. Anticoagulants, oral: Coadministration of corticosteroids and warfarin result in inhibition of response to warfarin. Therefore, coagulation indices should be monitored to maintain the desired anticoagulant effect. Antidiabetics: Because corticosteroids may increase blood glucose concentrations, dosage adjustments of antidiabetic agents may be required. Antitubercular drugs: Serum concentrations of isoniazid may be decreased. Cholestyramine: Cholestyramine may increase the clearance of corticosteroids. Cyclosporine: Increased activity of both cyclosporine and corticosteroids may occur w",FDA_openFDA
LORAZEPAM,LORAZEPAM,LORAZEPAM,"Limit, Lorazepam, Drug Interactions, Concomitant, Benzodiazepines","Drug Interactions The concomitant use of benzodiazepines and opioids increases the risk of respiratory depression because of actions at different receptor sites in the CNS that control respiration. Benzodiazepines interact at GABA A sites and opioids interact primarily at mu receptors. When benzodiazepines and opioids are combined, the potential for benzodiazepines to significantly worsen opioid-related respiratory depression exists. Limit dosage and duration of concomitant use of benzodiazepines and opioids, and monitor patients closely for respiratory depression and sedation. The benzodiazepines, including lorazepam, produce increased CNS-depressant effects when administered with other CNS depressants such as alcohol, barbiturates, antipsychotics, sedative/hypnotics, anxiolytics, antidepressants, narcotic analgesics, sedative antihistamines, anticonvulsants, and anesthetics. Concomitant use of clozapine and lorazepam may produce marked sedation, excessive salivation, hypotension, ataxia, delirium, and respiratory arrest. Concurrent administration of lorazepam with valproate results in increased plasma concentrations and reduced clearance of lorazepam. Lorazepam dosage should be reduced to approximately 50% when coadministered with valproate. Concurrent administration of lorazepam with probenecid may result in a more rapid onset or prolonged effect of lorazepam due to increased half-life and decreased total clearance. Lorazepam dosage needs to be reduced by approximately 50%",FDA_openFDA
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,"Administered, Increases, Esomeprazole, Wort, Tacrolimus Clinical, Clarithromycin, Saquinavir, Drugs Dependent, Clinically Relevant, Citalopram Clinical, Cilostazol Clinical, Potentially, See Contraindications, Neuroendocrine Tumors, See Drug, Substrates, Table, Consult, Monitor, Diagnostics Antiretrovirals, Interaction, Rilpivirine, Voriconazole Clinical, Inducers Clinical, John","7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with esomeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Esomeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect of PPIs on antiretroviral drugs is variable. The clinical importance and the mechanisms behind these interactions are not always known. Decreased exposure of some antiretroviral drugs (e.g., rilpivirine atazanavir, and nelfinavir) when used concomitantly with esomeprazole may reduce antiviral effect and promote the development of drug resistance [see Clinical Pharmacology (12.3) ]. Increased exposure of other antiretroviral drugs (e.g., saquinavir) when used concomitantly with esomeprazole may increase toxicity [see Clinical Pharmacology (12.3) ]. There are other antiretroviral drugs which do not result in clinically relevant interactions with esomeprazole. Intervention: Rilpivirine-containing products: Concomitant use with esomeprazole magnesium delayed-release capsules are contraindicated [see Contraindications (4) ] . Atazanavir: See prescribing information for atazanavir for dosing information. Nelfinavir: Avoid concomitant use with esomeprazole magnesium delayed-release capsul",FDA_openFDA
RANOLAZINE,RANOLAZINE,RANOLAZINE,"Monitor, Other Drugs, Inducers Do, Limit, Inhibitors Concomitant, Ranolazine, Inhibitors Limit, Doses, John, Dosage, Titrate, Effects, Metformin, Drugs Transported, Moderate, Dose, Drugs, Inhibitors Do, Contraindications, Concomitant, Drugs Metabolized, Ranolazine Strong, Clinical Pharmacology","7 DRUG INTERACTIONS Moderate CYP3A inhibitors (e.g., diltiazem, verapamil, erythromycin): Limit ranolazine to 500 mg twice daily. ( 7.1 ) P-gp inhibitors (e.g., cyclosporine): Ranolazine exposure increased. Titrate ranolazine based on clinical response. ( 7.1 ) CYP3A substrates: Limit simvastatin to 20 mg when used with ranolazine. Doses of other sensitive CYP3A substrates (e.g., lovastatin) and CYP3A substrates with narrow therapeutic range (e.g., cyclosporine, tacrolimus, sirolimus) may need to be reduced with ranolazine. ( 7.2 ) OCT2 substrates: Limit the dose of metformin to 1700 mg daily when used with ranolazine 1000 mg twice daily. Doses of other OCT2 substrates may require adjusted doses. ( 7.2 ) Drugs transported by P-gp (e.g., digoxin), or drugs metabolized by CYP2D6 (e.g., tricyclic antidepressants) may need reduced doses when used with ranolazine. ( 7.2 ) 7.1 Effects of Other Drugs on Ranolazine Strong CYP3A Inhibitors Do not use ranolazine with strong CYP3A inhibitors, including ketoconazole, itraconazole, clarithromycin, nefazodone, nelfinavir, ritonavir, indinavir, and saquinavir [see Contraindications (4) , Clinical Pharmacology (12.3) ]. Moderate CYP3A Inhibitors Limit the dose of ranolazine to 500 mg twice daily in patients on moderate CYP3A inhibitors, including diltiazem, verapamil, erythromycin, fluconazole, and grapefruit juice or grapefruit-containing products [see Dosage and Administration (2.2) , Clinical Pharmacology (12.3) ]. P-gp Inhibitors Concomi",FDA_openFDA
LANSOPRAZOLE,LANSOPRAZOLE,LANSOPRAZOLE,"Administered, Increases, St John, Wort, Use Lansoprazole, Tacrolimus Clinical, Clarithromycin, Dosage, Release Capsules, Saquinavir, Drugs Dependent, Clinically Relevant, Potentially, See Contraindications, Neuroendocrine Tumors, See Drug, Voriconazole, Table, Consult, Monitor, Diagnostics Antiretrovirals, Interaction, Rilpivirine, Take Lansoprazole, Inducers Clinical","7 DRUG INTERACTIONS Tables 2 and 3 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with lansoprazole delayed release capsules and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 2. Clinically Relevant Interactions Affecting Drugs Co-Administered with Lansoprazole Delayed Release Capsules and Interactions with Diagnostics Antiretrovirals Clinical Impact: The effect of PPIs on antiretroviral drugs is variable. The clinical importance and the mechanisms behind these interactions are not always known. Decreased exposure of some antiretroviral drugs (e.g., rilpivirine, atazanavir, and nelfinavir) when used concomitantly with lansoprazole may reduce antiviral effect and promote the development of drug resistance. Increased exposure of other antiretroviral drugs (e.g., saquinavir) when used concomitantly with lansoprazole may increase toxicity of the antiretroviral drugs. There are other antiretroviral drugs which do not result in clinically relevant interactions with lansoprazole. Intervention : Rilpivirine-containing products : Concomitant use with Lansoprazole delayed release capsules is contraindicated [ see Contraindications ( 4 ) ]. See prescribing information. Atazanavir : See prescribing information for atazanavir for dosing information. Nelfinavir : Avoid concomitant use with Lansoprazole.",FDA_openFDA
TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,"Drug Interactions, Absorption, Since","Drug Interactions Since bacteriostatic drugs may interfere with the bactericidal action of penicillin, it is advisable to avoid giving tetracycline in conjunction with penicillin or other bactericidal antibacterials. Because the tetracyclines have been shown to depress plasma prothrombin activity, patients who are on anticoagulant therapy may require downward adjustment of their anticoagulant dosage. Absorption of tetracyclines is impaired by antacids containing aluminum, calcium or magnesium and preparations containing iron, zinc, or sodium bicarbonate. Concurrent use of tetracycline may render oral contraceptives less effective.",FDA_openFDA
EPTIFIBATIDE,EPTIFIBATIDE,EPTIFIBATIDE,"Avoid, Anticoagulants, Agents Coadministration, Concomitant, Thrombolytics, Coadministration, Other Antiplatelet","7 DRUG INTERACTIONS Coadministration of antiplatelet agents, thrombolytics, heparin, aspirin, and chronic NSAID use increases the risk of bleeding. Avoid concomitant use with other glycoprotein (GP) IIb/IIIa inhibitors. (7.1) 7.1 Use of Thrombolytics, Anticoagulants, and Other Antiplatelet Agents Coadministration of antiplatelet agents, thrombolytics, heparin, aspirin, and chronic NSAID use increases the risk of bleeding. Concomitant treatment with other inhibitors of platelet receptor GP IIb/IIIa should be avoided.",FDA_openFDA
SERDEXMETHYLPHENIDATE AND DEXMETHYLPHENIDATE,AZSTARYS,SERDEXMETHYLPHENIDATE AND DEXMETHYLPHENIDATE,"Intervention Monitor, Impact Combined, Table, Monitor, Monoamine Oxidase, Halogenated Anesthetics, Risperidone Clinical, Clinically Important, Intervention Do, Intervention Avoid, Adjust, Warnings, Inhibitors, Interactions, Drug Interactions, Clinical Impact, Antihypertensive Drugs, Potential, Contraindications, Precautions, Concomitant","7 DRUG INTERACTIONS Antihypertensive Drugs: Monitor blood pressure. Adjust dosage of antihypertensive drug as needed. ( 7.1 ) 7.1 Clinically Important Interactions with AZSTARYS Table 1 presents clinically important drug interactions with AZSTARYS. Table 1: Clinically Important Drug Interactions with AZSTARYS Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact Concomitant use of MAOIs and CNS stimulants, including AZSTARYS, can cause hypertensive crisis. Potential outcomes include death, stroke, myocardial infarction, aortic dissection, ophthalmological complications, eclampsia, pulmonary edema, and renal failure [see Contraindications ( 4 )] . Intervention Do not administer AZSTARYS concomitantly with MAOIs or within 14 days after discontinuing MAOI treatment [see Contraindications ( 4 )] Antihypertensive Drugs Clinical Impact AZSTARYS may decrease the effectiveness of drugs used to treat hypertension [see Warnings and Precautions ( 5.3 )] . Intervention Monitor blood pressure and adjust the dosage of the antihypertensive drug, as needed. Halogenated Anesthetics Clinical Impact Concomitant use of halogenated anesthetics and AZSTARYS may increase the risk of sudden blood pressure and heart rate increase during surgery. Intervention Avoid use of AZSTARYS in patients being treated with anesthetics on the day of surgery. Risperidone Clinical Impact Combined use of methylphenidate with risperidone when there is a change, whether an increase or decrease, in dosage of either or bo",FDA_openFDA
TRIMETHOBENZAMIDE HYDROCHLORIDE,TRIMETHOBENZAMIDE HYDROCHLORIDE,TRIMETHOBENZAMIDE HYDROCHLORIDE,"Alcohol, Either, Avoid, Alcohol Alcohol, Cause, Precautions, Other Drugs, Depression, Warnings","7 DRUG INTERACTIONS • Alcohol : May cause drowsiness; avoid concomitant use. ( 7.1 ) • Other Drugs that Cause CNS Depression or EPS : Either trimethobenzamide hydrochloride capsules or the other interacting drug should be chosen, depending on the importance of the drug to the patient. If CNS-acting drugs cannot be avoided, monitor patients for CNS adverse reactions. ( 7.2 ) 7.1 Alcohol Alcohol may increase the CNS depressant effects of trimethobenzamide hydrochloride capsules and may cause drowsiness [see Warnings and Precautions ( 5.3 , 5.5 )]. Avoid concomitant use of trimethobenzamide hydrochloride capsules with alcohol. 7.2 Other Drugs that Cause CNS Depression or EPS The concurrent use of trimethobenzamide hydrochloride capsules with other drugs that cause CNS depression or EPS (e.g., sedatives, hypnotics, opiates, anxiolytics, antipsychotics, and anticholinergics, may potentiate the effects of trimethobenzamide hydrochloride capsules [see Warnings and Precautions ( 5.1 , 5.2 , 5.3 , 5.5 )] . Either trimethobenzamide hydrochloride capsules or the other interacting drug should be chosen, depending on the importance of the drug to the patient. If CNS-acting drugs cannot be avoided, monitor patients for CNS adverse reactions.",FDA_openFDA
NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,"Drug Interactions, Consequently, Studies, Lethargy","Drug Interactions Studies to evaluate possible interactions between naltrexone hydrochloride and drugs other than opiates have not been performed. Consequently, caution is advised if the concomitant administration of naltrexone hydrochloride and other drugs is required. The safety and efficacy of concomitant use of naltrexone hydrochloride and disulfiram is unknown, and the concomitant use of two potentially hepatotoxic medications is not ordinarily recommended unless the probable benefits outweigh the known risks. Lethargy and somnolence have been reported following doses of naltrexone hydrochloride and thioridazine. Patients taking naltrexone hydrochloride may not benefit from opioid containing medicines, such as cough and cold preparations, antidiarrheal preparations, and opioid analgesics. In an emergency situation when opioid analgesia must be administered to a patient receiving naltrexone hydrochloride, the amount of opioid required may be greater than usual, and the resulting respiratory depression may be deeper and more prolonged (see PRECAUTIONS )",FDA_openFDA
LEUPROLIDE ACETATE,LUPRON DEPOT,LEUPROLIDE ACETATE,,7 DRUG INTERACTIONS No drug-drug interaction studies have been conducted with LUPRON DEPOT 3.75 mg.,FDA_openFDA
DECITABINE,DECITABINE,DECITABINE,,"7 DRUG INTERACTIONS Drug interaction studies with decitabine have not been conducted. In vitro studies in human liver microsomes suggest that decitabine is unlikely to inhibit or induce cytochrome P450 enzymes. In vitro metabolism studies have suggested that decitabine is not a substrate for human liver cytochrome P450 enzymes. As plasma protein binding of decitabine is negligible (<1%), interactions due to displacement of more highly protein bound drugs from plasma proteins are not expected.",FDA_openFDA
BACLOFEN INJECTION,GABLOFEN,BACLOFEN INJECTION,"Combined, There, Interactions",7 DRUG INTERACTIONS There is inadequate systematic experience with the use of intrathecal baclofen in combination with other medications to predict specific drug-drug interactions. Interactions attributed to the combined use of GABLOFEN and epidural morphine include hypotension and dyspnea. Combined use with morphine: hypotension and dyspnea ( 7 ),FDA_openFDA
